country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,2,3.555342,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.000000,2006.756192,0.639711
CRI,2,3.555342,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.000000,2003.500931,1.104168
CRI,2,1.985842,0.221675,0.365339,0.065789,0.211165,0.047189,0.825887,1995.840101,1.071741,0.010923,0.000000,2003.930183,0.705143
CRI,2,1.059022,0.230532,0.217947,0.069277,0.213302,0.048853,0.835247,1996.529655,1.079173,0.012499,0.000000,2004.160863,0.739748
CRI,2,1.517974,0.123313,0.481154,0.067517,0.212245,0.048021,0.830618,1996.187738,1.075506,0.011714,0.000000,2004.044156,0.722288
CRI,2,1.995541,0.192836,0.471390,0.031525,0.213127,0.048714,0.834483,1996.473068,1.078568,0.012368,0.000000,2004.141221,0.736816
CRI,2,1.674911,0.190932,0.459985,0.056305,0.214134,0.049524,0.838902,1985.505191,1.082057,0.013126,0.000000,2004.256887,0.754039
CRI,2,1.594961,0.188727,0.446680,0.055833,0.215280,0.050469,0.680780,1994.121303,1.086014,0.014001,0.000000,2004.395168,0.774505
CRI,2,1.585688,0.186175,0.431191,0.055287,0.179543,0.051572,0.809004,1994.075656,1.090480,0.015011,0.000000,2004.561091,0.798884
CRI,2,1.370465,0.183227,0.413212,0.054655,0.209087,0.052856,0.809515,1994.022304,0.965951,0.016173,0.000000,2004.761002,0.828002
CRI,2,1.117136,0.179829,0.392440,0.053925,0.209493,0.054349,0.810109,1993.959926,1.071517,0.017503,0.000000,2005.002963,0.433831
CRI,2,0.876685,0.175920,0.368595,0.053083,0.209961,0.056081,0.810800,1993.886971,1.074006,0.019021,0.000000,2002.353242,0.740502
CRI,2,0.351872,0.162723,0.290219,0.050217,0.211567,0.062001,0.813204,1993.630106,1.082382,0.024005,0.000000,2001.315167,0.795186
CRI,2,0.563934,0.169226,0.328260,0.051634,0.210771,0.059074,0.812005,1993.758834,1.078258,0.021579,0.000000,2004.088979,0.767491
CRI,2,0.358327,0.163794,0.296378,0.050451,0.211435,0.061519,0.813005,1993.651601,1.081704,0.023610,0.000000,2004.194590,0.790521
CRI,2,0.393206,0.157626,0.261569,0.049098,0.212199,0.064298,0.814166,1993.525983,1.085614,0.005272,0.000000,2004.320632,0.818004
